Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Stop,1st Lane,,7:32:05,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:32:06,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:32:19,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:32:20,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:32:37,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:32:38,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:33:30,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:33:40,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:34:03,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:34:17,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:34:18,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:35:09,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:35:23,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:35:24,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:35:38,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:35:51,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:35:52,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:36:08,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:36:24,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:36:25,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:36:46,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:36:55,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:36:56,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:38:29,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:38:33,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:38:34,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:38:56,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:39:10,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,7:39:23,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,7:39:24,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,7:39:31,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,7:39:32,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,7:39:46,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,7:39:47,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,7:40:00,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,7:40:05,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,7:40:06,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,7:40:53,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,7:40:58,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,7:40:59,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,7:41:02,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,7:41:03,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,7:41:15,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,7:41:16,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,7:41:26,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,7:41:40,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,1st Lane,,7:41:50,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:42:00,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:42:01,Moderate (34 - 80 %),,,
Stoplight,Go,1st Lane,,7:43:56,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:44:03,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,7:44:28,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:44:39,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:44:40,Moderate (34 - 80 %),,,
Stoplight,Go,1st Lane,,7:46:50,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:46:51,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:47:11,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:47:12,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,7:47:17,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:47:18,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:47:56,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:47:57,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:48:02,Low (0 - 33 %),,,
Stoplight,Stop,2nd Lane,,7:48:03,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,7:48:06,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,7:48:07,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,7:48:11,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:48:20,Low (0 - 33 %),,,
