Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,Remarks
Vehicle,1 Lane Left,2nd Lane,,14:05:52,Moderate (34 - 80 %),,,overtake slow motorcycle,,
Vehicle,1 Lane Right,1st Lane,,14:06:00,Moderate (34 - 80 %),,,get closer to passenger lane,,
Vehicle,1 Lane Right,1st Lane,,14:06:17,Moderate (34 - 80 %),,,"wider road, came out of small bridge",,
Vehicle,Stop,1st Lane,,14:06:22,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:06:23,Moderate (34 - 80 %),,,,15,
Vehicle,Go,1st Lane,,14:06:33,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:06:52,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:06:53,Moderate (34 - 80 %),6km/h,,,13,
Vehicle,Go,1st Lane,,14:06:56,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:07:12,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:07:50,Moderate (34 - 80 %),,,,,traffic
Vehicle,Stop,1st Lane,,14:08:15,Moderate (34 - 80 %),,,,,pureza lrt
Passenger,Load,1st Lane,,14:08:15,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,,14:08:23,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:08:31,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:08:32,Moderate (34 - 80 %),,,,15,
Vehicle,Go,1st Lane,,14:08:37,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:08:41,Moderate (34 - 80 %),,,,,jeep stopped in front
Passenger,Wait,1st Lane,,14:08:48,Moderate (34 - 80 %),3km/h,searching for passengers,,,
Vehicle,Go,1st Lane,,14:09:01,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:09:02,Moderate (34 - 80 %),,,Overtake,,
Vehicle,1 Lane Left,3rd Lane,,14:09:10,Moderate (34 - 80 %),,,Overtake,,
Vehicle,1 Lane Right,4th Lane,,14:09:38,Moderate (34 - 80 %),,,,,wider road
